id,question,answer
44,"Who wrote ""The Bird: The Life and Legacy of Mark Fidrych""?",Doug Wilson
45,"The 1994 British League season was the 30th and final season of the British League,  what was the name of the famous player during this season?",Lionel Messi
46,What is the name of the song that Bill Anderson wrote and recorded for?,Thanks
47,What type of music does Veld Music festival attract?,electronic dance music and hip-hop music
48,Who won the 1962 Liège–Bastogne–Liège race?,Jef Planckaert
49,What are the most well known species of Callistethus?,Woody killers
50,What type of bird is Tarache lucasi?,bird dropping moth
51,What is the name of Archibald's daughter?,Kennadi
52,What is the largest cruise port in the Atlantic?,The Port of St. John's
53,Who was the son of Cush?,Raamah
54,How many medals were Canadians claimed in the 2019 World Championships?,38
55,How many rivers flow through Propières?,4
56,What is the population of Gelves?,"8,325 inhabitants"
57,Where did Michael Christopher Emlyn Jones grow up?,"Wrexham, Wales"
58,What was the name of the Sparks album?,The Seduction of Ingmar Bergman
59,What is the name of the federal building located at 201 North Vienna Street?,Federal Building
60,What year did Humayun Khan become a member of the Provincial Assembly?,2018
61,When was the Anacreon launched?,1800
62,What is the name of the dam that forms a lagoon on the Buaraba Creek?,The Atkinson Dam
63,What type of animal is the Libellago greeni?,damselflies
64,What was the name of Grace Braun?,Anna Trodglen
65,Which church was placed on the National Register of Historic Places?,The Old Grace Episcopal Church Rectory
66,In what year was the name Kaldekerke first used?,1229
67,What is the difference of the geometry of a force versus a parallelogram?,the geometry is no longer parallelogrammatic
68,What is a phase detector or phase comparator?,"frequency mixer, "" ""n"" ""log multiplier or logic circuit th"" ""t gener"" ""tes "" "" volt"" ""ge sign"" ""l"
69,What are sphaerotheriids used for?,medicinal purposes
70,"What did HTC announce on November 7, 2008?","the Touch HD would be available in the UK from November 7, 2008"
71,In what location is Markaryd located?,the Baltic Sea coast
72,What was Appius Claudius Crassus Sabinus Regillensis usually referred to as?,Appius Claudius Crassus or Crassinus
73,What year did the Duluth Hardware Kellys win the U.S. Amateur championship?,1907
74,What are the inhabitants of Bures-en-Bray known as?,Bures-Renaissons
75,In what country does Roewe 950 make its debut?,China
76,When did Jeffrey Dahmer become president of the Milwaukee Police Association?,2005
77,What is the birth date of Christopher David Impey?,25 January 1956
78,Who wrote and directed the movie The Kashmir Files?,Vivek Agnihotri
79,What company made the Everworld Books?,Scholastic
80,How many kilometers did Kjersti Tysse Platzer run in the Olympics?,20
81,What is the common name of the plant used to treat epilepsy?,Withania somnifera
82,What position in the Royal Dutch Navy did Jan Borten hold?,medical officer
83,How many listed buildings are in the parish of Montford?,20
84,Where did Popper attend school?,Quaker Leighton Park School in Reading
85,Which Canadian writer won the Vicky Metcalf Award for Literature for Young People?,Jan Thornhill
86,When did 'The Librarians' premiere?,"December 7, 2014"
87,"When did HPOJ, the HP OfficeJet Linux driver cease development?",13 March 2006
88,Who wrote The Russian Radical?,Chris Matthew Sciabarra
89,Who was the first Polish-American to win a major title in the U.S.?,Martin Fischer
90,Who created the NGC?,John Louis Emil Dreyer
91,"In 2009, what was the estimated number of cases of influenza A virus?",60.8 million
92,What is the population of the Gainesville metro area in 2010?,33804
93,"Who was the first person to release a song in the song ""My Truly, Truly Fair""?",Bob Merrill
94,How many species does the Reptile Database focus on?,13000
95,What year did Thomas Lomar Gray die?,1908
96,"In 1930, which country had the highest attendance for an FIFA World Cup?",Yugoslavia
97,How many students does the IMMS Raebareli have?,"about 8,000"
98,How many kilometers of roads are there?,10000
99,Where was the 2011 TicketCity Bowl played?,"Dallas, Texas"
100,When did Moshe Landau die?,1 May 2011
101,"What Act divides the Army into the Regular Army, the Army National Guard and the Army Reserve?","The Army Act, 1950"
102,What is the NR2 highway called?,National Highway 2
103,What was the name of the previous head coach at East Texas State?,Eddie Vowell
104,When did Taj Mahal start his recording career?,late 1980s
105,What can be used to study graphs?,techniques of linear algebra
106,In what county is the Wessington house located?,Chowan County
107,How many slots are typically in a rack of a ISS spacecraft?,37
108,In what part of China do Ersu languages be found?,the western part of Sichuan province
109,What is the name of the movie Spock directed?,Matrix Revolver
110,What is the FreeX Blade?,"German single-place, paraglider"
111,Keith Whitley released his first compilation album in what year?,1991
112,What season is pumpkin bread usually baked?,late fall
113,What was the name of the policy of non-recognition of states created as a result of aggression?,The Stimson Doctrine
114,What are the names of the two dish in Ireland?,Ella Pie and Clams Pie
115,How many career years in professional hockey did Parizeau spend in the NHL?,2
116,What year was the Allsvenskan season held?,1960–61
117,What was the nationality of Friedrich Daniel von Recklinghausen?,German
118,What year did Kwes release his debut album?,2013
119,When was The Alloy of Law published?,2011
120,The Tabacalera House is a heritage house in which city?,San Fernando
121,What was the nickname given to McKenley?,Z-Bo
122,What is the district number of Lambert?,71st
123,What is the name of the independent body that was created to study the growth and development of economies?,The Commission on Growth and Development
124,In what year did Almería host the XXII Summer Youth Olympic Games?,2005
125,Where is the main high school located in Brooks County?,Quitman
126,"Who wrote the original screenplay for ""Ritu  Kumar Kumar""?",Joshua Newtonn
127,How many public schools are in Collier County?,9
128,Who won the 1938 South Carolina gubernatorial election?,Burnet Rhett Maybank
129,What year was Murder unearthed?,1948
130,What is the name of the aquarium in San Antonio?,The San Antonio Aquarium
131,What nationality was Chen Xiaoxin born?,Chinese
132,What was the Secretary-General chosen by the United States in 1997?,Kofi Annan of Ghana
133,What was the nickname of Nat Turner during his two terms in Ohio?,the Peasant Whig
134,In what place did the Whalers finish in the 1988-89 Hartford Whalers season?,fourth
135,What was the name of the 1980 Mercy River Boys album?,Breakout
136,In what year did WUCP begin broadcasting under the call letters WUCP-LP?,2003
137,Where did the Missouri Cavalry Regiment primarily serve during the American Civil War?,Union Army
138,How many teams are fielded by the Ripon Rugby Union Football Club?,4
139,What year was the club founded?,1924
140,The Water Tower was built in what year?,1934
141,How many countries did he play for?,7
142,What gene specifies a human disorder called the Ruijs-Aalfs syndrome?,SPRTN
143,Where is the National Maritime Museum located?,Gdańsk
144,What was Natzler's occupation?,ceramicist
145,What is the name of the people that inhabited Enggano Island according to the 1999 census?,Enggano
146,What was the name of the short-lived band that emerged from the ashes of Ednaswap?,Annetenna
147,What was Hill's nickname during his junior year at BYU?,The Human Swiss Army knife
148,When was he appointed Dean of the College of Cardinals?,1965
149,"Who first coined the term ""Demanufacturing""?",Professor Walter W. Olson and Professor John W. Sutherland
150,What is the purpose of using correlated double sampling?,to measure electrical values such as voltages or currents that allows removing an undesired offset
151,What was the former name of Charlene McMann?,Charlene McMann-Seaman
152,What was the name of the sixteenth album by James Brown?,James Brown Plays the Real Thing
153,What was the name of the ship that was converted to a salvage ship?,Flatholm
154,What is the scientific name for fireflies?,Brachylampis
155,In what league does Marcel Sobottka play?,2. Bundesliga
156,Which Bologna film archive is a member of the FIAF?,Cineteca di Bologna
157,What is the name of the station owned by Inyo Broadcast?,WIPX-TV
158,Who won the last lift of the Olympic program?,Leon
159,What is the name of the song that was a big success in 1995?,Don't Know How to Be
160,In what city did she receive the first major radio broadcast?,Paris
161,What is the purpose of a nanofiction piece?,impart morality or even aesthetic effect to the reader
162,What year was Saint-Lacteau first founded?,1233
163,How long did he spend as the soloist?,two years
164,What year was Alex A. Dallman born?,1991/1992
165,What was the army called during the 1920s and 1930s?,Reserve Army
166,What was Keith Wookey's birth name?,Wookey
167,How many caps has Moreetsi Mosimanyana won?,1
168,What position was held by Peter Brotherton Spurrier at the College of Arms?,officer of arms
169,What year was Webb born?,1958
170,What city is Kelley Peak located in?,"Edwards County, Texas"
171,What Georgia city has the Oconee River Greenway?,Athens
172,Who led the forces defending Ghent in 1453?,Simon de Lalaing
173,In what year was the Godavari district created?,1859
174,How many people live in the administrative district?,2913940
175,What was the name of the county-wide fire and rescue service?,Wiltshire Fire and Rescue Service
176,How many shops are located in The Overgate Centre?,over 60
177,What was the name of the book written by Hill Harper?,Letters to a Young Brother
178,When was the Secondary School of New Zealand founded?,1990
179,What is the name of the Missouri literary magazine that was founded at the University of Missouri in St. Louis?,Natural Bridge
180,Who did Crown Princess Minhoe marry?,Crown Prince Sohyeon
181,In what city is Jennifer K Dick born?,Minnesota
182,What was the name of the collection of states and provinces under the Prussian king?,The Kingdom of Prussia
183,What is Richard Neave?,British expert in forensic f ci l reconstruction
184,"What was the subject of Adam's ""Primacy of Love""?",theological study of love
185,When was Mower ranked among the 50 best places to work in advertising?,2014 and 2012
186,Who wrote the screenplay for The 49th Man?,Harry Essex
187,What year did Continental withdraw from the United States with their designs and production of the XP-10 Victrola and XP-11 Champion aircraft?,1921
188,What was the episode's rating?,0.5
189,Who was the Oxford Classical Dictionary edited by?,Max Cary
190,What is the longest river in Mexico?,The Santiago River
191,How many episodes of American Gothic aired?,13
192,What is Antoņenko's nationality?,Latvian
193,what is the population of the municipality?,653.044
194,Who was the 2015 Austrian Grand Prix winner?,Nico Rosberg
195,How many teams competed in the Aksai League?,12
196,Who wrote The Banopticon?,Paris School academic Didier Bigo
197,What was the name of the ship that was decommissioned in 1899?,Aurora
198,Who wrote an autobiography about Edward O. Wilson’s childhood?,Edward O. Wilson
199,What is the population of Taiwan?,2.1 billion
200,What was Nagai's birth year?,1974
201,When was the HL7 Clinical Document Architecture released?,November 2000
202,What was the name of the team that won the 1975-76 Nationale A season?,Chamonix Hockey Club
203,How much money did the film receive in Argentina?,$305 million
204,Who commissioned the painting?,South African financier Sir Abraham Bailey
205,When was the Badminton Scotland established?,1911
206,What was the name of Barry Martyn?,Barry Martyn Godfrey
207,What was the name of Hudson's nickname?,T-Hud
208,How many hardcover volumes did the Fate game come out in 2010?,2
209,Who played in the 1930s?,Alf Birtles
210,When was the Everton Football Club founded?,1983
211,What percentage of cargo that arrives in Shiraz is from the Middle East?,25
212,What year did Athletic Bucureşti win the Divizia A?,1991–92
213,How many people are in the legislative branch?,29 members
214,What job was Lisa Schrage originally offered?,actress
215,What was the name of the 1980 movie that was directed by Omar Khayyam?,Neeyat
216,Where is the Small Press Expo held?,"Bethesda,  North Bethesda, or Silver Spring"
217,Who led the Spanish army at Oppenheim?,Don Ambrosio Spinola
218,When was the Natchez Museum of African American History and Culture established?,1991
219,How many people lived in Neenah in 2010?,25501
220,How many students attend the open school program in Brighton?,18000
221,How many homes were affected by the fire?,9
222,How tall is Mont Blanc?,"4,810 m (15,780 ft)"
223,Who founded Netfrastructure?,Jim Starkey
224,In what language does WePapers operate?,English
225,What position does she hold with the party?,Minister of State for Women and Children
226,How much of the Indian Army's space program is dedicated to these satellites?,30%
227,What is the symbol on the clown beetle that is suspended on a thin black stalk?,crown-like cloud-like structure
228,"What year did the Flying Dutchman World Championship, also known as FD Worlds, firstly take place?",1956
229,For which field did he contribute most?,mathematics
230,What is the name of the New York fashion house catering for the middle class?,Costello Tagliapietra
231,What was the name of Gorillaz's third album?,Plastic Beach
232,Where did Poles compete at the 1960 Winter Olympics?,"Squaw Valley, United States"
233,What was the first season of Project Runway?,2012
234,During what era did Katherine Kavanaugh primarily write comedies?,silent
235,What is the nationality of Ene?,Romanian
236,Who proposed the name Hydrae?,William Herschel
237,What was William Woodruff Niles' profession?,bishop
238,Who is the main character in Daddy's Girls?,Vanessa and Angela Simmons
239,How many players were in the China women's team?,23
240,"What was the name of the song that was released on November 16, 2009?",Your Decision
241,"Who composed the music for ""Sound City""?",Dave Grohl
242,How many seats are there in the Bihar Legislative Assembly?,243
243,What organization published a report on water management in agriculture in 2007?,International Water Management Institute
244,What type of tree is the Agathis lenticula?,tree of Borneo
245,What large ravine takes flash flood rains down to the sea?,Torrent Fondo de Mortitx
246,"Whitley's son, Nathaniel, was an architect and what?",sculptor
247,What specific type of fungus is Acantharia?,fungi
248,"What does the name ""Maqrah"" mean?",Promised Land
249,"When did the current Indonesian ambassador, Hermono, become Foreign Minister?",20 February 2018
250,How many counties are in Ireland?,32
251,How many districts does Algeria have?,thirty-six
252,What was the name of the song that first featured rape and gangster imagery in a video?,Stinkfist
253,What is the name of the second largest island in the archipelago?,Aibat
254,What company owns the Baba Diamond Fields?,Infinity Baba Diamond Group
255,When did the CBR start?,1891
256,"What was the name of the winner of the Indian reality show ""Magic Star""?",Tejas
257,What is the name of the well known yacht club in Geelong?,The Royal Geelong Yacht Club
258,The Night We Called It a Day was first available on what store?,iTunes
259,What is the name of the greatest hits album by Australian artist Rick Price?,The Essential Rick Price
260,Who was the Docibilis I succeeded?,Marinus I
261,"What is the name of the New York area radio channel that broadcasts from Buffalo, New York?",WUFO
262,Who was elected to the French National Assembly for the district of Lorraine-Alsace?,Lisette Narducci
263,How many times has Emanuela Pierantozzi won a gold medal in judoka?,2
264,What is the name of the Aboriginal name given to Ngambri?,Ngambri
265,What is the Islamic religious textbook called?,Qur'an
266,What magazine did Clifford Phelps Morehouse succeed as?,The Living Church
267,How big is the largest methane gas-fired power plant in the world?,12th largest
268,What was the birth date of Dele Sosimi?,22 February 1963
269,Which type of glass is used for containers?,Container glass
270,What movie mentioned the Owensboro airline?,The Life Aquatic
271,When was Thomas William Bergeson born?,1962
272,What was the nickname of Henry George Herbert Milles-Lade?,Viscount Throwley
273,What was Miller's original job title prior to being Assistant to the Director of the National Counterterrorism Center?,Director of the National Counterterrorism Center
274,What is Literacy defined as?,an ability to read and write in at least one method of writing
275,Doha is the capital of what Country?,Brazil
276,Who was acquired from the OHL in 1984?,Johan Cruyff
277,What was Rosenbach's first job title after retirement from the NFL?,quarterbacks coach
278,What was the name of Stone Temple Pilots first album?,Going to California
279,Who is a notable Ugandan anesthesiologist?,Arthur Kwizera
280,Who wrote the music for Hercules?,Alan Menken and lyricist David Zippel
281,What is the name of the route that runs through Vermont?,Route 113
282,Who was the famous melodrama singer in the opera house La Scala?,María de Padilla
283,What does the Deveron Projects give equal attention to?,the local community and impact on the international art scene
284,What is the population of the Oultort townland in 2011?,70
285,Who created the Buffyverse?,Joss Whedon
286,What does the Turdus flavipes call themselves?,yellow-legged thrush
287,In what country is the lake of Pipi located?,New Zealand
288,Who discussed the idea of three primary categories of emotions in Spinoza’s work?,Baruch Spinoza
289,In what location is Domburg located?,the North Sea
290,What was the name of the third book written by Amanda Filipacchi?,Love Creeps
291,When was the Antarctic Peninsula first mapped?,1903–05
292,What magazine was a notable source of Japanese street fashion?,Fruits
293,What do purists consider the rule of elegant variation essential for?,good style
294,What publication did Catherine Seipp write for?,National Review Online
295,What is the northernmost bay in the world?,Constable Bay
296,What gene needs to be present to cause the STARD3 to be expressed?,T (STARD3)
297,What is the Labdia compar?,moth in the f mily Cosmopterigid e
298,What is the range of area codes in Mexico?,700–799
299,Who wrote the musical Bran Nue Dae?,"Jimmy Chi, his band Kuckles and friends"
300,What was Sir John Pearce's nickname?,Peanut
301,For what team did Kelly play?,Vanderbilt Commodores
302,Under what circumstances may state authorities hold secret trials?,national security
303,What kind of vineyards does the Michelin company focus on?,Michelin starred restaurants and vineyards
304,Who was the important agent involved in the death of William Wakefield?,New Zealand Company
305,What is the only indigenous horse in Albania?,Albanian
306,Who are the Totj?,an indigenous Australian people of far northern Queensland
307,Who was the head coach of the 1938 BYU football team?,Eddie Kimball
308,How many pairs of discs does an earthworm's clitellum have?,3
309,How many inhabitants were there in the 2011 census?,330
310,When was the first world championship for cricket held in England?,1815
311,Which South African politician is a member of the Economic Freedom Fighters?,Badenhorst
312,What was the name of the first pay-per-view event?,Buried Alive
313,How many patties are located in the village of Malwa?,5
314,What is the population of Atkinson?,299
315,What town does Sean Greenhalgh live in?,New York City
316,What kind of music does Rebecca Schiffman write?,jewelry
317,What party was the first to form a political party in New Zealand?,The New Zealand Liberal Party
318,What was the name of Lali's fourth studio album?,Libra
319,What does the name Gu Gan mean?,Chinese: 古干 b.1942
320,What place did Juha Isolehto reach in the competition?,tenth
321,What was Antje Wieberdink-Koopmans's nationality?,Dutch
322,What is the name of the park that is located in Kennedy Heights neighborhood?,Daniel Drake Park
323,What was the name of the band that was a part of the group Curve?,"Toni Halliday (vocals, occasionally guitar) and Dean Garcia (bass, guitar, drums, programming)"
324,What is the population of the unincorporated community of Mount Pleasant?,620602
325,How many teams remained in the draw for the UEFA Cup?,5
326,How many heritage-listed places are there in the Town of Port Hedland?,81
327,What did Raja Ram Singh observe from the movie?,the film did not live up to the standard set by Skyfall
328,What was the name of the first joint album between Christian Fennesz and Ryuichi Sakamoto?,Sala Santa Cecilia
329,When was SportPesa founded?,2008
330,What was the name of the research foundation that Richard Bayard Dominick founded?,the Wedge Entomology Research Foundation
331,What type of music is the mohanam?,Carnatic
332,Who was elected Chief Minister of Haryana in 2005?,Bhupinder Singh Hooda
333,What is the name of the recently published encyclopedia about Jewish history?,Judaica et Judaica
334,What is the name of the Mississippian culture that is believed to have created proto-civilizations?,Cahokia
335,What is a database written in?,Python
336,Who was the first Governor-General of Victoria?,Philip Francis
337,What is the flat-backed millipede named?,Nannaria terricola
338,What is the name of the moth found in the tropics of Asia?,Physcomitrella patens
339,What is the only stadium that serves as the home of Tasmanian football?,KGV Oval
340,What kind of beetle is the species of Zeugophora?,megalopodid
341,How many people were on the 10 Most Wanted Fugitives List in 1951?,5
342,In what frequency band does Wi-Fi use?,900 MHz
343,What enables the halftop crews to quickly get to wildfires?,helicopter
344,What lake is located in Central Florida and west of Eustis?,Lake Eustis
345,How many people lived in the area at the 2000 census?,1004
346,In what local government area is Belrose located?,Northern Beaches Council
347,What are the largest tribe in the Jharkhand state of India?,Santals
348,Which Dublin sculpture is considered one of the finest pieces in the art industry?,The Oscar Wilde Memorial Sculpture
349,What is the northernmost point on Guam?,Ritidian Point
350,The book was an inspiration for who?,Nancy Mladenoff
351,What was the name of the nightclub he operated?,Fly By Night Club
352,Who was the Famous Five?,British author Enid Blyton
353,What year did Hendel die?,2007
354,Who were the architects of the Mortzenhaus?,Jacob and Hans Moers
355,What is the name of the species found in the south of Mexico that would prey on the small-headed rattlesnake?,Crotalus intermedius
356,What is the only member of the Mitromorphidae?,Mitromorpha chelonion
357,Who placed the Canon of Science on the genus Shawnia paradisaea?,Timothy Rowe
358,Who was a backup  outfielder for the All-American Girls Professional Baseball League?,Melba Irene Alspaugh
359,Where is the CANLA based?,Buenos Aires
360,What is the name of the Norwegian hard rock band's sixth album?,Skambankt
361,Who wrote and directed the film Death Proof?,Quentin Tarantino
362,How many students regularly attend schools in the Provo school district?,17800
363,What is the name of the airport located 3 nautical miles from Sydney?,"Taree Airport (IATA: TRO, ICAO: YTRE)"
364,When was the code used in the International Standardized Mountain Subdivision of the Alps?,2005
365,What position was held by Wilbur W. Marsh?,Treasurer
366,When was the live version of ''Forgiven'' released in Europe?,1996
367,What year did Kiparsky receive his doctorate?,1996
368,Who was one of the most talked-about contestants during the audition process?,William Hung
369,What river runs along the border of the Democratic Republic of the Congo?,the Nzoro River
370,What park is 8 miles from Santa Fe?,Hyde Memorial State Park
371,What is the name of the Christian radio station in San Francisco?,KEAR
372,What is another name for Souk El Nissa?,Women market
373,What is the Zanzibar women's national football team called?,Zanzibar Queens
374,What is the name of the Montgomery County public high school?,Nokomis High School
375,What was the name of the Argentine film directed and written by Leopoldo Torres Ríos?,Aquello que amamos
376,What version of chess did D. B. Pritchard claim was played in Cambodia?,Ouk-Khmer
377,What nationality is Patrik Nilsson?,Swedish
378,What was the name of the inventor of the red solo cup?,"Robert Leo ""Bob"" Hulseman"
379,Which 3D graphics application software is the most widely deployed in history? ,OpenGL
380,When was Solomon Omolayo Omogboye born?,19 August 1982
381,Who was the architect of the Civil War?,Charles W. Robinson
382,How many inhabitants were there in the village in 2001?,671
383,What did IBM use for testing and development?,RJE technology
384,Who was the third son of Daišan and a grandson of Nurhaci?,Sahaliyan
385,What is the name of the historic district that encompasses two communities of slate production in northern Harford County?,Whiteford–Cardiff Historic District
386,What was the name of the album released in 1987?,Zabranjeno Pušenje
387,What is the name of the electoral district of the Legislative Assembly?,Tweed
388,Which university moved to the Football Bowl Subdivision in 2014?,Appalachian State
389,Who is the Val Camonica mythical creature?,Badalisc
390,What was Karl Friedrich Theodor Krause's birth date?,15 December 1797
391,Where is the species not known as Stenarctia found?,Angola
392,What was the name of the second Madonna album?,Residente o Visitante
393,Who was the defending champion?,Andre Agassi
394,What is the name of the unicameral legislature of the Falkland Islands?,The Legislative Council of the Falkland Islands
395,What is the key characteristic of the pseudorandom generator?,it exhibits a non-trivial solution to a statistical problem
396,Who is considered the most important author of life?,Yoon Sung-hee
397,What is the largest freshwater fish in the world?,Alburnoides varentsovi
398,What was the name of Beyoncé's second single?,Into the Groove
399,A tensioned suspension of what is used in the arch bridge?,the base of an arch structure is below the deck but the top rises above it
400,What is the Japanese word for a guardian god?,ujigami
401,Who were the players in the 1937 Georgia Tech Yellow Jackets?,"Hale Holt, Walter Camp, and Walter Camp Jr."
402,What was the name of the ship that was under construction?,HMS Collingwood
403,Who was the Georgia lawyer that proposed the $1 coin to replace the $100 dollar?,Abraham Vereide
404,What is the name of the station it serves?,Argüelles
405,What is the capital city of Taiwan?,Yangon
406,Which famous economist is a fellow of the British Academy?,Muellbauer
407,What is Vignale famous for working on?,density functional theory
408,Which park has many different areas for children and barbecue?,Southport Broadwater Parklands
409,What is the courtroom workgroup model best suited to explain?,jurisdictions where defense attorneys are more or less permanently assigned
410,What district is Upper Shelton located in?,Bedfordshire
411,Who was the manager of the Detroit Wheels?,Clive Davis
412,What does the mountain take its name from?,Nephin Beg or Nefin Beg
413,What's the name of the island that is easily visible from the coast?,Longa Island
414,What did Othniel Charles Marsh name the mammal from the Tennessee shale?,Cimolomys
415,In what country has the role of the guru changed?,America and Britain
416,What location was originally photographed by the ANARE?,Mount Berrigan
417,What does the Australian grey smooth-hound refer to?,species of houndsh rk
418,What Swedish company is known for inventing the woven vinyl flooring?,Bolon
419,Where are the Nimiq satellites located?,Canadian fleet of geostationary telecommunications satellites owned by Telesat
420,What percentage of voters voted against the changes to the constitution?,99.98%
421,In what county is North Vernon located?,Jennings County
422,What type of insect is Extatosoma popa?,stick
423,"Which street is the northernmost street in the European Union known as a ""city street""?",Seventh Avenue
424,What is the newer PyPy version that does not support Python 2.7 and 3.6?,3.7
425,Which boxer was given a bye to the semi-finals?,Taylah Robertson
426,What other name is given to the two-toothed grain beetle species?,Silvanus bidentatus
427,What is the name of the football team located in Santa Maria da Feira?,The Romariz Futebol Clube
428,Who wrote the 'Returned' book?,Jason Mott
429,What is the main function of the unemployment funds?,administrate and pay unemployment benefits
430,How many teams competed in the 2016–17 Scottish League Cup?,40
431,What is the Martin Luther King Bridge referred to as?,the Veterans Bridge
432,Which views on Mary are socially conservative?,Protestant
433,How many municipalities are in the Central Bohemian Region?,2
434,Who gave the money to the Chamber Music Society?,Milan Stoeger
435,How large is the area of Matlab Dakshin?,"6,476 square kilometres (2,236 sq mi)"
436,Who wrote the 'Ratman's Notebooks'?,Stephen Gilbert
437,How many people lived in Buenos Aires in 2010?,2291
438,When was Jacky Wu born?,26 September 1962
439,Who wrote and produced 'Twice Upon a Time'?,Scott Fifer
440,Who was the founder of the Punjabi school of architecture?,Nizamuddin
441,In what county is Leighton located?,Cambridgeshire
442,Which director filmed the movie Stowaway?,Lee Robinson
443,What lake is home to the steamboat Acme?,Lake Washington
444,What is the name of Montenegrin singer and songwriter?,Niklas Kissínović
445,When was the ISO 22392:20 Security and resilience - Community resilience - Guidelines for conducting peer reviews published?,2020
446,How long was the mahia electorate of the mahia?,one term
447,What are objectives of a business network?,strategic and operational
448,"In 1980, people with what kind of disabilities were first classified in an international competition?",cerebral palsy
449,When was Flight of the Phoenix released?,2004
450,How many copies did Omnivium sell in the first week of its release?,2000
451,How many criteria are there for universities to be considered a solar designer?,10
452,What were the special kind of Russian ship called?,koch
453,What causes pain and discomfort in patients with metastatic breast cancer?,Ablation
454,How many people lived in Leasburg neighborhood in 2010?,338
455,How many career games did Michael Roy Weger play?,3
456,How many players have scored hat-tricks in W-League matches since the league's inaugural season?,more than thirty
457,In what location is the Mabolela located?,Maluti-a-Phofung Local Municipality
458,What league are the Ibaraki Robots in?,Japanese B.League
459,When was Washington Street built?,1824
460,What type of architecture is Hanwal famous for?,traditional
461,Where did Nickel get his started in art history?,Heidelberg and New York City
462,How many Oscars did Roger Tonge win?,5
463,Who wrote the music for the movie Rajasthan?,V. Dakshinamoorthy
464,What was the magnitude of the 2007 Martinique earthquake?,7.4
465,What is the geographical feature that is located at the end of the Edge of the Rock,Mount Fitzgerald
466,Who was the vocalist for the group Billion Dollar Babies?,Alice Cooper
467,What was the population of the township in 2000?,769
468,What is the name of the 4-lane hard-shouldered road that ended at the Exit 13 and 8?,The Boulevard périphérique de Caen
469,What year was Medina High School founded?,1972
470,What are the only invertebrates to have evolved from a dinosaur eutherian?,Genkaimurex
471,What is the name of the only highway running through Miami?,Interstate 540
472,What is the name of the second Queen song?,The Light
473,What does the scientific name of the species indicate?,bulbophyllum
474,"How many issues was the comic book series ""Spider-Man"" in?",18
475,What is the name of the species that is associated with Melbourne's heavily forested hills?,Aeonium dodrantale
476,How many races were included in the 2014 Canoe Marathon European Championships?,5
477,When was the post office closed?,"August 15, 1933"
478,What was historically significant in the realm of secure communications?,Nautilus
479,What position was Gorky Anisimov born?,priest
480,How many total league matches has MARRS won?,221
481,What is the discrepancy of the distance to the sun of Beta Librae? ,185 light-years
482,Where is the Norrbotten Regiment located?,"Boden, Norrbotten"
483,What was the nationality of Marcus Ames?,American
484,What is the name of the species found in south-eastern Siberia?,Dichomeris bulawskii
